Proveedor,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
ELECTROANDINA INDUSTRIAL S.A.C.,ELECTROHOGAR,LINEA BLANCA,28/07/2021,2429788,INDURAMA,BT - LB,TERCERAS,CD ALDEA6,0.00,37.45,,,95,,,159069.2,,,3557.42,
ELECTROANDINA INDUSTRIAL S.A.C.,ELECTROHOGAR,LINEA BLANCA,28/07/2021,2438761,INDURAMA,BT - LB,TERCERAS,CD ALDEA6,0.00,32.04,,,347,,,497186.52,,,11119.05,
ELECTROANDINA INDUSTRIAL S.A.C.,ELECTROHOGAR,LINEA BLANCA,28/07/2021,2430630,INDURAMA,BT - LB,TERCERAS,CD ALDEA6,0.00,45.09,,,96,,,193558.08,,,4328.72,
LG ELECTRONICS PERU S.A.,ELECTROHOGAR,LINEA BLANCA,28/07/2021,2437598,LG,BT - LB,TERCERAS,CD ALDEA6,0.00,35.24,,,370,,,698762.41,,,13037.68,
LG ELECTRONICS PERU S.A.,ELECTROHOGAR,LINEA BLANCA,28/07/2021,2430546,LG,BT - LB,TERCERAS,CD ALDEA6,0.00,34.44,,,233,,,430093.61,,,8024.79,
LG ELECTRONICS PERU S.A.,ELECTROHOGAR,LINEA BLANCA,28/07/2021,2434867,LG,BT - LB,TERCERAS,CD ALDEA6,0.00,25.60,,,476,,,653162.8,,,12186.87,
LG ELECTRONICS PERU S.A.,ELECTROHOGAR,LINEA BLANCA,28/07/2021,2437617,LG,BT - LB,TERCERAS,CD ALDEA6,0.00,40.10,,,60,,,128947.2,,,2405.93,
LG ELECTRONICS PERU S.A.,ELECTROHOGAR,TV-VIDEO,28/07/2021,2434738,LG,BT - TV,TERCERAS,CD ALDEA6,20.45,0.00,,14,,,51196.88,,,286.24,,
LG ELECTRONICS PERU S.A.,ELECTROHOGAR,TV-VIDEO,28/07/2021,2434726,LG,BT - TV,TERCERAS,CD ALDEA6,0.00,14.55,,,4,,,10407.36,,,58.19,
LG ELECTRONICS PERU S.A.,ELECTROHOGAR,TV-VIDEO,28/07/2021,2434736,LG,BT - TV,TERCERAS,CD ALDEA6,14.55,0.00,,67,,,174323.28,,,974.64,,
SONY PERU S.R.L.,ELECTROHOGAR,TV-VIDEO,28/07/2021,2432380,SONY,BT - TV,TERCERAS,CD ALDEA6,2.88,0.00,,31,,,124405.68,,,89.43,,
SONY PERU S.R.L.,ELECTROHOGAR,TV-VIDEO,28/07/2021,2432378,SONY,BT - TV,TERCERAS,CD ALDEA6,0.00,13.84,,,6,,,23840.28,,,83.06,
